Sample	total_reads	Uni_Vec counts	Uni_Vec percentage	rRNA counts	rRNA percentage	No hits counts	No hits percentage
WT_MOCK_2_MP180.R1.trim_screen	1006951	839.0	0.08	20879.0	2.07	985905	97.91
WT_MOCK_2_MP180.R2.trim_screen	1006951	926.0	0.09000000000000001	20905.0	2.0799999999999996	985805	97.9
WT_MOCK_2_MP192.R1.trim_screen	1009192	855.0	0.08	20450.0	2.02	988503	97.95
WT_MOCK_2_MP192.R2.trim_screen	1009192	990.0	0.1	20496.0	2.0300000000000002	988402	97.94
WT_MOCK_3_MP180.R1.trim_screen	991037	820.0	0.08	21172.0	2.13	969729	97.85
WT_MOCK_3_MP180.R2.trim_screen	991037	941.0	0.1	21163.0	2.13	969630	97.84
WT_MOCK_3_MP192.R1.trim_screen	999361	877.0	0.08	20450.0	2.04	978674	97.93
WT_MOCK_3_MP192.R2.trim_screen	999361	1091.0	0.11000000000000001	20472.0	2.04	978574	97.92
WT_MOCK_4_MP180.R1.trim_screen	1016751	850.0	0.09000000000000001	21759.0	2.15	994789	97.84
WT_MOCK_4_MP180.R2.trim_screen	1016751	981.0	0.09000000000000001	21828.0	2.15	994687	97.83
WT_MOCK_4_MP192.R1.trim_screen	1024450	3212.0	0.31000000000000005	17159.0	1.6700000000000002	1004985	98.1
WT_MOCK_4_MP192.R2.trim_screen	1024450	3309.0	0.31999999999999995	17231.0	1.6800000000000002	1004883	98.09
WT_RAS_1_MP180.R1.trim_screen	990083	2070.0	0.21000000000000002	17694.0	1.78	971073	98.08
WT_RAS_1_MP180.R2.trim_screen	990083	2174.0	0.21000000000000002	17664.0	1.78	970974	98.07
WT_RAS_1_MP192.R1.trim_screen	980496	2296.0	0.24	16373.0	1.6700000000000002	962650	98.18
WT_RAS_1_MP192.R2.trim_screen	980496	2401.0	0.24	16368.0	1.6700000000000002	962552	98.17
WT_RAS_2_MP180.R1.trim_screen	1008443	2149.0	0.22000000000000003	18217.0	1.81	988879	98.06
WT_RAS_2_MP180.R2.trim_screen	1008443	2323.0	0.22999999999999998	18303.0	1.81	988677	98.04
WT_RAS_2_MP192.R1.trim_screen	1022337	2208.0	0.21000000000000002	18279.0	1.7800000000000002	1002708	98.08
WT_RAS_2_MP192.R2.trim_screen	1022337	2457.0	0.24	18372.0	1.8000000000000003	1002401	98.05
WT_RAS_3_MP180.R1.trim_screen	978582	2153.0	0.22000000000000003	19884.0	2.0300000000000002	957346	97.83
WT_RAS_3_MP180.R2.trim_screen	978582	2255.0	0.22999999999999998	19891.0	2.0300000000000002	957248	97.82
WT_RAS_3_MP192.R1.trim_screen	993391	2054.0	0.2	16985.0	1.7100000000000002	975112	98.16
WT_RAS_3_MP192.R2.trim_screen	993391	2210.0	0.22999999999999998	17073.0	1.7200000000000002	974913	98.14
WT_RAS_4_MP180.R1.trim_screen	982926	2159.0	0.21000000000000002	16207.0	1.64	965331	98.21
WT_RAS_4_MP180.R2.trim_screen	982926	2264.0	0.22999999999999998	16218.0	1.6500000000000001	965233	98.2
WT_RAS_4_MP192.R1.trim_screen	997790	2353.0	0.24	17412.0	1.75	978831	98.1
WT_RAS_4_MP192.R2.trim_screen	997790	2453.0	0.24	17417.0	1.7500000000000002	978732	98.09
